"TeamId";"GameId";"Venue";"Result";"GoalDifference";"GoalsP1";"GoalsP2";"GoalsP3";"ShotsP1";"ShotsP2";"ShotsP3";"TotalShots";"PowerPlayGoals";"PowerPlayShots";"Hits";"FaceoffWins";"Giveaways";"Takeaways";"BlockedShots";"PenaltyMinutes"
"1";"2013020001";"Away";"1";"1";"1";"2";"1";"16";"13";"9";"38";"1";"7";"25";"29";"5";"3";"17";"47"
"2";"2013020001";"Home";"-1";"-1";"2";"0";"1";"17";"10";"10";"37";"0";"4";"21";"26";"10";"7";"15";"53"
"3";"2013020002";"Away";"-1";"-2";"1";"1";"2";"13";"6";"13";"32";"3";"6";"28";"29";"1";"1";"15";"8"
"4";"2013020002";"Home";"1";"2";"2";"1";"3";"8";"18";"9";"34";"1";"4";"30";"31";"10";"9";"18";"12"
"5";"2013020003";"Away";"1";"1";"2";"1";"2";"7";"15";"6";"28";"1";"4";"24";"34";"18";"9";"23";"17"
"6";"2013020003";"Home";"-1";"-1";"2";"2";"0";"15";"9";"14";"38";"2";"5";"20";"41";"9";"4";"14";"15"
"1";"2013020004";"Away";"1";"2";"0";"1";"2";"9";"9";"7";"25";"1";"2";"34";"36";"12";"7";"20";"21"
"7";"2013020004";"Home";"-1";"-2";"1";"0";"0";"15";"7";"10";"32";"1";"7";"22";"33";"7";"9";"11";"11"
"8";"2013020005";"Away";"-1";"-1";"0";"0";"1";"6";"9";"5";"20";"0";"7";"21";"23";"9";"5";"9";"6"
"9";"2013020005";"Home";"1";"1";"2";"0";"0";"8";"10";"16";"34";"0";"3";"13";"35";"11";"7";"8";"14"
"10";"2013020006";"Away";"-1";"-5";"0";"0";"1";"7";"15";"14";"36";"0";"2";"13";"37";"2";"12";"9";"24"
"11";"2013020006";"Home";"1";"5";"1";"3";"2";"14";"9";"6";"29";"2";"4";"21";"27";"7";"14";"13";"20"
"12";"2013020007";"Away";"-1";"-2";"0";"1";"0";"15";"8";"10";"33";"0";"5";"20";"33";"4";"4";"16";"16"
"13";"2013020007";"Home";"1";"2";"1";"1";"1";"6";"9";"10";"25";"0";"3";"14";"39";"4";"6";"12";"20"
"14";"2013020008";"Away";"-1";"-3";"0";"0";"0";"6";"9";"12";"27";"0";"2";"29";"22";"3";"1";"10";"7"
"15";"2013020008";"Home";"1";"3";"2";"0";"1";"12";"3";"6";"21";"0";"1";"34";"32";"3";"10";"23";"9"
"16";"2013020009";"Away";"-1";"-1";"3";"1";"0";"11";"12";"13";"39";"1";"5";"25";"29";"9";"10";"20";"13"
"3";"2013020009";"Home";"1";"1";"0";"3";"1";"12";"11";"13";"39";"2";"3";"30";"46";"9";"6";"14";"17"
"17";"2013020010";"Away";"-1";"-2";"1";"1";"0";"12";"9";"9";"30";"0";"4";"13";"27";"0";"6";"7";"20"
"18";"2013020010";"Home";"1";"2";"3";"1";"0";"10";"11";"7";"28";"2";"4";"19";"26";"2";"5";"15";"10"
"19";"2013020011";"Away";"1";"1";"1";"0";"1";"8";"3";"6";"18";"1";"3";"20";"19";"3";"1";"14";"20"
"20";"2013020011";"Home";"-1";"-1";"2";"0";"0";"11";"13";"5";"29";"1";"5";"19";"32";"9";"5";"20";"16"
"21";"2013020012";"Away";"1";"2";"1";"0";"3";"12";"12";"15";"39";"0";"4";"12";"33";"5";"3";"24";"26"
"22";"2013020012";"Home";"-1";"-2";"0";"1";"1";"9";"10";"8";"27";"0";"3";"26";"38";"8";"8";"10";"38"
"23";"2013020013";"Away";"-1";"-3";"0";"1";"0";"8";"9";"7";"24";"1";"4";"26";"22";"1";"3";"18";"18"
"24";"2013020013";"Home";"1";"3";"1";"1";"2";"8";"16";"8";"32";"1";"3";"22";"26";"6";"13";"17";"30"
"25";"2013020014";"Away";"-1";"-3";"1";"0";"0";"7";"10";"5";"22";"1";"6";"18";"35";"9";"0";"22";"16"
"26";"2013020014";"Home";"1";"3";"0";"2";"2";"16";"11";"8";"35";"0";"8";"17";"32";"14";"7";"18";"12"
"27";"2013020015";"Away";"1";"1";"0";"0";"1";"23";"10";"13";"46";"0";"3";"14";"37";"3";"4";"8";"8"
"8";"2013020015";"Home";"-1";"-1";"0";"0";"0";"16";"9";"10";"35";"0";"4";"21";"34";"7";"6";"17";"6"
"28";"2013020016";"Away";"1";"1";"1";"1";"1";"9";"7";"9";"26";"0";"2";"15";"28";"3";"6";"14";"4"
"14";"2013020016";"Home";"-1";"-1";"1";"1";"1";"7";"13";"8";"29";"0";"2";"13";"24";"11";"7";"9";"4"
"9";"2013020017";"Away";"1";"1";"0";"0";"2";"8";"10";"16";"38";"0";"3";"20";"23";"10";"8";"15";"6"
"29";"2013020017";"Home";"-1";"-1";"1";"1";"0";"4";"9";"11";"25";"1";"3";"26";"24";"6";"12";"23";"6"
"16";"2013020018";"Away";"1";"1";"2";"0";"2";"11";"8";"11";"30";"0";"3";"22";"21";"1";"7";"23";"8"
"30";"2013020018";"Home";"-1";"-1";"2";"0";"1";"14";"7";"11";"32";"1";"3";"33";"30";"3";"5";"8";"8"
"19";"2013020019";"Away";"-1";"-2";"1";"0";"2";"18";"8";"10";"36";"2";"5";"18";"40";"8";"2";"14";"17"
"5";"2013020019";"Home";"1";"2";"1";"1";"3";"7";"13";"13";"33";"1";"6";"31";"23";"12";"4";"15";"15"
"17";"2013020020";"Away";"-1";"-2";"0";"1";"0";"10";"7";"10";"27";"0";"3";"14";"31";"2";"10";"14";"16"
"11";"2013020020";"Home";"1";"2";"1";"1";"1";"13";"12";"11";"36";"0";"5";"19";"23";"11";"5";"11";"12"
"9";"2013020021";"Away";"-1";"-3";"1";"0";"0";"5";"15";"6";"26";"0";"2";"16";"32";"12";"7";"9";"8"
"13";"2013020021";"Home";"1";"3";"1";"2";"1";"14";"13";"10";"37";"2";"4";"23";"25";"9";"6";"11";"4"
"27";"2013020022";"Away";"-1";"-1";"2";"2";"0";"11";"14";"10";"36";"0";"1";"41";"37";"14";"7";"19";"14"
"1";"2013020022";"Home";"1";"1";"2";"1";"1";"14";"13";"10";"42";"2";"6";"32";"37";"33";"14";"17";"4"
"7";"2013020023";"Away";"-1";"-3";"0";"0";"1";"7";"8";"8";"23";"1";"5";"29";"40";"13";"4";"24";"32"
"2";"2013020023";"Home";"1";"3";"1";"0";"3";"9";"9";"16";"34";"2";"9";"20";"38";"6";"3";"12";"24"
"30";"2013020024";"Away";"1";"1";"0";"0";"2";"4";"8";"12";"29";"1";"2";"25";"30";"7";"6";"13";"4"
"28";"2013020024";"Home";"-1";"-1";"0";"2";"0";"9";"10";"7";"30";"1";"2";"20";"31";"12";"7";"21";"4"
"8";"2013020025";"Away";"-1";"-3";"0";"0";"1";"9";"5";"7";"21";"0";"2";"25";"35";"3";"3";"18";"4"
"15";"2013020025";"Home";"1";"3";"2";"0";"2";"11";"10";"14";"35";"0";"2";"26";"40";"4";"6";"16";"4"
"12";"2013020026";"Away";"1";"1";"0";"0";"2";"0";"6";"8";"16";"1";"1";"29";"31";"2";"9";"17";"10"
"4";"2013020026";"Home";"-1";"-1";"0";"2";"0";"12";"13";"12";"39";"1";"5";"19";"31";"7";"14";"17";"2"
"21";"2013020027";"Away";"-1";"-7";"0";"0";"0";"6";"6";"7";"19";"0";"7";"12";"24";"2";"4";"6";"47"
"18";"2013020027";"Home";"1";"7";"1";"4";"2";"14";"14";"6";"34";"1";"4";"23";"33";"4";"10";"12";"53"
"3";"2013020028";"Away";"-1";"-1";"1";"0";"0";"8";"12";"6";"26";"1";"3";"28";"27";"5";"11";"10";"4"
"22";"2013020028";"Home";"1";"1";"1";"1";"0";"9";"8";"4";"21";"0";"2";"26";"25";"7";"6";"14";"6"
"10";"2013020029";"Away";"1";"1";"2";"1";"0";"10";"8";"6";"30";"1";"3";"20";"26";"9";"8";"19";"13"
"20";"2013020029";"Home";"-1";"-1";"1";"1";"1";"8";"17";"6";"33";"2";"4";"23";"47";"9";"8";"7";"11"
"6";"2013020030";"Away";"-1";"-4";"1";"1";"0";"8";"7";"8";"23";"0";"3";"38";"31";"7";"6";"19";"40"
"25";"2013020030";"Home";"1";"4";"3";"2";"1";"22";"12";"10";"44";"1";"6";"22";"26";"4";"8";"10";"24"
"24";"2013020031";"Away";"-1";"-3";"0";"1";"0";"8";"9";"6";"23";"0";"1";"39";"43";"8";"2";"13";"8"
"26";"2013020031";"Home";"1";"3";"3";"0";"1";"18";"16";"17";"51";"2";"4";"23";"39";"10";"12";"14";"2"
"7";"2013020032";"Away";"-1";"-1";"0";"1";"0";"5";"10";"3";"18";"0";"2";"46";"24";"5";"7";"14";"8"
"29";"2013020032";"Home";"1";"1";"1";"1";"0";"17";"10";"7";"34";"0";"4";"29";"32";"6";"9";"11";"4"
