"GameId";"Season";"SeasonType"
"2000020001";"2000-2001";"Regular Season"
"2000020002";"2000-2001";"Regular Season"
"2000020003";"2000-2001";"Regular Season"
"2000020004";"2000-2001";"Regular Season"
"2000020005";"2000-2001";"Regular Season"
"2000020006";"2000-2001";"Regular Season"
"2000020007";"2000-2001";"Regular Season"
"2000020008";"2000-2001";"Regular Season"
"2000020009";"2000-2001";"Regular Season"
"2000020010";"2000-2001";"Regular Season"
"2000020011";"2000-2001";"Regular Season"
"2000020012";"2000-2001";"Regular Season"
"2000020013";"2000-2001";"Regular Season"
"2000020014";"2000-2001";"Regular Season"
"2000020015";"2000-2001";"Regular Season"
"2000020016";"2000-2001";"Regular Season"
"2000020017";"2000-2001";"Regular Season"
"2000020018";"2000-2001";"Regular Season"
"2000020019";"2000-2001";"Regular Season"
"2000020020";"2000-2001";"Regular Season"
"2000020021";"2000-2001";"Regular Season"
"2000020022";"2000-2001";"Regular Season"
"2000020023";"2000-2001";"Regular Season"
"2000020024";"2000-2001";"Regular Season"
"2000020025";"2000-2001";"Regular Season"
"2000020026";"2000-2001";"Regular Season"
"2000020027";"2000-2001";"Regular Season"
"2000020028";"2000-2001";"Regular Season"
"2000020029";"2000-2001";"Regular Season"
"2000020030";"2000-2001";"Regular Season"
"2000020031";"2000-2001";"Regular Season"
"2000020032";"2000-2001";"Regular Season"
"2000020033";"2000-2001";"Regular Season"
"2000020034";"2000-2001";"Regular Season"
"2000020035";"2000-2001";"Regular Season"
"2000020036";"2000-2001";"Regular Season"
"2000020037";"2000-2001";"Regular Season"
"2000020038";"2000-2001";"Regular Season"
"2000020039";"2000-2001";"Regular Season"
"2000020040";"2000-2001";"Regular Season"
"2000020041";"2000-2001";"Regular Season"
"2000020042";"2000-2001";"Regular Season"
"2000020043";"2000-2001";"Regular Season"
"2000020044";"2000-2001";"Regular Season"
"2000020045";"2000-2001";"Regular Season"
"2000020046";"2000-2001";"Regular Season"
"2000020047";"2000-2001";"Regular Season"
"2000020048";"2000-2001";"Regular Season"
"2000020049";"2000-2001";"Regular Season"
"2000020050";"2000-2001";"Regular Season"
"2000020051";"2000-2001";"Regular Season"
"2000020052";"2000-2001";"Regular Season"
"2000020053";"2000-2001";"Regular Season"
"2000020054";"2000-2001";"Regular Season"
"2000020055";"2000-2001";"Regular Season"
"2000020056";"2000-2001";"Regular Season"
"2000020057";"2000-2001";"Regular Season"
"2000020058";"2000-2001";"Regular Season"
"2000020059";"2000-2001";"Regular Season"
"2000020060";"2000-2001";"Regular Season"
"2000020061";"2000-2001";"Regular Season"
"2000020062";"2000-2001";"Regular Season"
"2000020063";"2000-2001";"Regular Season"
"2000020064";"2000-2001";"Regular Season"
"2000020065";"2000-2001";"Regular Season"
"2000020066";"2000-2001";"Regular Season"
"2000020067";"2000-2001";"Regular Season"
"2000020068";"2000-2001";"Regular Season"
"2000020069";"2000-2001";"Regular Season"
"2000020070";"2000-2001";"Regular Season"
"2000020071";"2000-2001";"Regular Season"
"2000020072";"2000-2001";"Regular Season"
"2000020073";"2000-2001";"Regular Season"
"2000020074";"2000-2001";"Regular Season"
"2000020075";"2000-2001";"Regular Season"
"2000020076";"2000-2001";"Regular Season"
"2000020077";"2000-2001";"Regular Season"
"2000020078";"2000-2001";"Regular Season"
"2000020079";"2000-2001";"Regular Season"
"2000020080";"2000-2001";"Regular Season"
"2000020081";"2000-2001";"Regular Season"
"2000020082";"2000-2001";"Regular Season"
"2000020083";"2000-2001";"Regular Season"
"2000020084";"2000-2001";"Regular Season"
"2000020085";"2000-2001";"Regular Season"
"2000020086";"2000-2001";"Regular Season"
"2000020087";"2000-2001";"Regular Season"
"2000020088";"2000-2001";"Regular Season"
"2000020089";"2000-2001";"Regular Season"
"2000020090";"2000-2001";"Regular Season"
"2000020091";"2000-2001";"Regular Season"
"2000020092";"2000-2001";"Regular Season"
"2000020093";"2000-2001";"Regular Season"
"2000020094";"2000-2001";"Regular Season"
"2000020095";"2000-2001";"Regular Season"
"2000020096";"2000-2001";"Regular Season"
"2000020097";"2000-2001";"Regular Season"
"2000020098";"2000-2001";"Regular Season"
"2000020099";"2000-2001";"Regular Season"
"2000020100";"2000-2001";"Regular Season"
"2000020101";"2000-2001";"Regular Season"
"2000020102";"2000-2001";"Regular Season"
"2000020103";"2000-2001";"Regular Season"
"2000020104";"2000-2001";"Regular Season"
"2000020105";"2000-2001";"Regular Season"
"2000020106";"2000-2001";"Regular Season"
"2000020107";"2000-2001";"Regular Season"
"2000020108";"2000-2001";"Regular Season"
"2000020109";"2000-2001";"Regular Season"
"2000020110";"2000-2001";"Regular Season"
"2000020111";"2000-2001";"Regular Season"
"2000020112";"2000-2001";"Regular Season"
"2000020113";"2000-2001";"Regular Season"
"2000020114";"2000-2001";"Regular Season"
"2000020115";"2000-2001";"Regular Season"
"2000020116";"2000-2001";"Regular Season"
"2000020117";"2000-2001";"Regular Season"
